HOG	OG	Gene Tree Parent Clade	Canislupusfamiliaris	Homosapiens	Macacafascicularis	Musmusculus	Rattusnorvegicus
N0.HOG0012464	OG0011283	n0	ENSCAFG00000017111.4	ENSG00000105610.6	ENSMFAG00000044883.1	ENSMUSG00000054191.9	ENSRNOG00000003443.5
N0.HOG0012465	OG0011284	n0	ENSCAFG00000007143.4	ENSG00000104763.20	ENSMFAG00000039553.1	ENSMUSG00000031591.14	ENSRNOG00000010034.5
N0.HOG0012466	OG0011285	n0	ENSCAFG00000010345.4	ENSG00000177707.11	ENSMFAG00000001084.1	ENSMUSG00000022656.15	ENSRNOG00000002176.6
N0.HOG0012467	OG0011286	n0	ENSCAFG00000005327.4	ENSG00000088451.11	ENSMFAG00000003252.1	ENSMUSG00000022130.10	ENSRNOG00000009661.7
N0.HOG0012468	OG0011287	n0	ENSCAFG00000017975.4	ENSG00000178761.15	ENSMFAG00000032469.1	ENSMUSG00000032305.15	ENSRNOG00000054468.1
N0.HOG0012469	OG0011288	n0	ENSCAFG00000040681.2	ENSG00000283071.1	ENSMFAG00000038146.1	ENSMUSG00000087075.2	ENSRNOG00000043137.1
N0.HOG0012470	OG0011289	n0	ENSCAFG00000018423.4	ENSG00000164171.11	ENSMFAG00000031678.1	ENSMUSG00000015533.9	ENSRNOG00000058111.1
N0.HOG0012471	OG0011290	n0	ENSCAFG00000010424.4	ENSG00000172893.16	ENSMFAG00000003021.1	ENSMUSG00000058454.15	ENSRNOG00000020776.5
N0.HOG0012472	OG0011291	n0	ENSCAFG00000006857.6	ENSG00000163635.20	ENSMFAG00000037665.1	ENSMUSG00000021738.5	ENSRNOG00000007246.7
N0.HOG0012473	OG0011292	n0	ENSCAFG00000016246.4	ENSG00000104714.14	ENSMFAG00000045194.1	ENSMUSG00000051978.9	ENSRNOG00000042114.3
N0.HOG0012474	OG0011293	n0	ENSCAFG00000019371.5	ENSG00000074356.17	ENSMFAG00000024176.1	ENSMUSG00000020783.14	ENSRNOG00000018550.5
N0.HOG0012475	OG0011294	n0	ENSCAFG00000007030.4	ENSG00000135476.12	ENSMFAG00000031428.1	ENSMUSG00000058290.4	ENSRNOG00000012835.6
N0.HOG0012476	OG0011295	n0	ENSCAFG00000014609.4	ENSG00000149781.12	ENSMFAG00000001178.1	ENSMUSG00000024965.9	ENSRNOG00000021161.6
N0.HOG0012477	OG0011296	n0	ENSCAFG00000007456.4	ENSG00000120820.12	ENSMFAG00000045735.1	ENSMUSG00000020251.13	ENSRNOG00000033579.4
N0.HOG0012478	OG0011297	n0	ENSCAFG00000000619.5	ENSG00000104517.13	ENSMFAG00000044216.1	ENSMUSG00000037487.7	ENSRNOG00000006816.7
N0.HOG0012479	OG0011298	n0	ENSCAFG00000016465.4	ENSG00000102316.17	ENSMFAG00000038463.1	ENSMUSG00000025268.15	ENSRNOG00000002449.7
N0.HOG0012480	OG0011299	n0	ENSCAFG00000019795.4	ENSG00000156150.9	ENSMFAG00000000542.1	ENSMUSG00000014603.3	ENSRNOG00000018290.5
N0.HOG0012481	OG0011300	n0	ENSCAFG00000016228.4	ENSG00000135919.14	ENSMFAG00000043725.1	ENSMUSG00000026249.10	ENSRNOG00000015461.7
N0.HOG0012482	OG0011301	n0	ENSCAFG00000005881.4	ENSG00000154813.10	ENSMFAG00000043479.1	ENSMUSG00000021905.14	ENSRNOG00000019727.5
N0.HOG0012483	OG0011302	n0	ENSCAFG00000017106.4	ENSG00000105607.13	ENSMFAG00000003761.1	ENSMUSG00000003809.14	ENSRNOG00000003307.5
N0.HOG0012484	OG0011303	n0	ENSCAFG00000005884.4	ENSG00000148985.20	ENSMFAG00000036676.1	ENSMUSG00000030990.18	ENSRNOG00000020371.7
N0.HOG0012485	OG0011304	n0	ENSCAFG00000005016.4	ENSG00000083520.15	ENSMFAG00000027055.1	ENSMUSG00000033166.11	ENSRNOG00000009125.7
N0.HOG0012486	OG0011305	n0	ENSCAFG00000023650.3	ENSG00000241553.12	ENSMFAG00000038887.1	ENSMUSG00000079426.13	ENSRNOG00000008994.5
N0.HOG0012487	OG0011306	n0	ENSCAFG00000011390.4	ENSG00000075035.10	ENSMFAG00000042790.1	ENSMUSG00000063430.9	ENSRNOG00000053045.1
N0.HOG0012488	OG0011307	n0	ENSCAFG00000010388.4	ENSG00000172890.13	ENSMFAG00000040085.1	ENSMUSG00000031090.14	ENSRNOG00000020736.6
N0.HOG0012489	OG0011308	n0	ENSCAFG00000010662.4	ENSG00000169507.9	ENSMFAG00000003277.1	ENSMUSG00000061171.15	ENSRNOG00000004966.8
N0.HOG0012490	OG0011309	n0	ENSCAFG00000031382.2	ENSG00000124225.16	ENSMFAG00000045392.1	ENSMUSG00000038400.15	ENSRNOG00000050404.2
N0.HOG0012491	OG0011310	n0	ENSCAFG00000016214.4	ENSG00000135900.4	ENSMFAG00000042793.1	ENSMUSG00000026248.9	ENSRNOG00000015231.6
N0.HOG0012492	OG0011311	n0	ENSCAFG00000015734.4	ENSG00000164535.15	ENSMFAG00000040592.1	ENSMUSG00000039206.13	ENSRNOG00000001079.9
N0.HOG0012493	OG0011312	n0	ENSCAFG00000019791.5	ENSG00000197106.7	ENSMFAG00000044649.1	ENSMUSG00000027894.14	ENSRNOG00000050090.2
N0.HOG0012494	OG0011313	n0	ENSCAFG00000001758.4	ENSG00000100225.18	ENSMFAG00000037085.1	ENSMUSG00000001786.14	ENSRNOG00000004637.7
N0.HOG0012495	OG0011314	n0	ENSCAFG00000030110.2	ENSG00000185900.11	ENSMFAG00000003293.1	ENSMUSG00000037251.5	ENSRNOG00000014628.7
N0.HOG0012496	OG0011315	n0	ENSCAFG00000032095.2	ENSG00000178222.13	ENSMFAG00000002719.1	ENSMUSG00000055385.12	ENSRNOG00000059010.1
N0.HOG0012497	OG0011316	n0	ENSCAFG00000011383.3	ENSG00000174600.14	ENSMFAG00000014872.1	ENSMUSG00000042190.12	ENSRNOG00000000704.3
N0.HOG0012498	OG0011317	n0	ENSCAFG00000001874.4	ENSG00000105792.19	ENSMFAG00000034046.1	ENSMUSG00000040473.15	ENSRNOG00000006114.8
N0.HOG0012499	OG0011318	n0	ENSCAFG00000017099.5	ENSG00000161860.8	ENSMFAG00000043055.1	ENSMUSG00000003824.12	ENSRNOG00000003279.7
N0.HOG0012500	OG0011319	n0	ENSCAFG00000023783.3	ENSG00000124256.15	ENSMFAG00000030920.1	ENSMUSG00000027514.14	ENSRNOG00000006314.5
N0.HOG0012501	OG0011320	n0	ENSCAFG00000014591.5	ENSG00000149743.14	ENSMFAG00000036828.1	ENSMUSG00000047656.9	ENSRNOG00000023023.4
N0.HOG0012502	OG0011321	n0	ENSCAFG00000018159.5	ENSG00000198752.11	ENSMFAG00000044066.1	ENSMUSG00000021279.5	ENSRNOG00000009675.5
N0.HOG0012503	OG0011322	n0	ENSCAFG00000000333.5	ENSG00000061987.16	ENSMFAG00000037361.1	ENSMUSG00000034602.15	ENSRNOG00000004185.8
N0.HOG0012504	OG0011323	n0	ENSCAFG00000003626.4	ENSG00000164136.17	ENSMFAG00000043515.1	ENSMUSG00000031712.10	ENSRNOG00000003439.6
N0.HOG0012505	OG0011324	n0	ENSCAFG00000020374.5	ENSG00000102890.16	ENSMFAG00000038390.1	ENSMUSG00000014791.10	ENSRNOG00000015800.6
N0.HOG0012506	OG0011325	n0	ENSCAFG00000007863.5	ENSG00000175054.16	ENSMFAG00000001151.1	ENSMUSG00000032409.15	ENSRNOG00000010027.7
N0.HOG0012507	OG0011326	n0	ENSCAFG00000012726.4	ENSG00000158006.14	ENSMFAG00000037812.1	ENSMUSG00000037366.14	ENSRNOG00000022288.2
N0.HOG0012508	OG0011327	n0	ENSCAFG00000014585.4	ENSG00000149761.9	ENSMFAG00000000939.1	ENSMUSG00000037349.9	ENSRNOG00000021158.4
N0.HOG0012509	OG0011328	n0	ENSCAFG00000019790.6	ENSG00000116396.15	ENSMFAG00000002458.1	ENSMUSG00000027895.10	ENSRNOG00000060988.1
N0.HOG0012510	OG0011329	n0	ENSCAFG00000030307.2	ENSG00000183098.11	ENSMFAG00000044647.1	ENSMUSG00000058571.11	ENSRNOG00000046660.3
N0.HOG0012511	OG0011330	n0	ENSCAFG00000032271.2	ENSG00000236279.7	ENSMFAG00000035782.1	ENSMUSG00000079598.4	ENSRNOG00000029644.5
N0.HOG0012512	OG0011331	n0	ENSCAFG00000011379.4	ENSG00000198855.7	ENSMFAG00000037681.1	ENSMUSG00000053334.6	ENSRNOG00000059799.1
N0.HOG0012513	OG0011332	n0	ENSCAFG00000019722.5	ENSG00000181781.9	ENSMFAG00000036409.1	ENSMUSG00000035963.8	ENSRNOG00000008199.5
N0.HOG0012514	OG0011333	n0	ENSCAFG00000002081.4	ENSG00000106993.12	ENSMFAG00000000879.1	ENSMUSG00000024780.7	ENSRNOG00000010967.7
N0.HOG0012515	OG0011334	n0	ENSCAFG00000002075.3	ENSG00000205808.7	ENSMFAG00000038925.1	ENSMUSG00000040105.3	ENSRNOG00000015268.4
N0.HOG0012516	OG0011335	n0	ENSCAFG00000018627.3	ENSG00000125735.11	ENSMFAG00000003750.1	ENSMUSG00000005824.7	ENSRNOG00000047730.1
N0.HOG0012517	OG0011336	n0	ENSCAFG00000015745.4	ENSG00000072840.13	ENSMFAG00000035895.1	ENSMUSG00000029122.11	ENSRNOG00000007564.6
N0.HOG0012518	OG0011337	n0	ENSCAFG00000029189.2	ENSG00000100234.12	ENSMFAG00000030203.1	ENSMUSG00000020044.13	ENSRNOG00000004303.5
N0.HOG0012519	OG0011338	n0	ENSCAFG00000006178.5	ENSG00000133104.14	ENSMFAG00000033182.1	ENSMUSG00000036580.15	ENSRNOG00000014155.7
N0.HOG0012520	OG0011339	n0	ENSCAFG00000009767.3	ENSG00000177551.5	ENSMFAG00000007499.1	ENSMUSG00000048540.8	ENSRNOG00000054375.1
N0.HOG0012521	OG0011340	n0	ENSCAFG00000019789.4	ENSG00000162775.16	ENSMFAG00000029929.1	ENSMUSG00000048109.10	ENSRNOG00000047499.2
N0.HOG0012522	OG0011341	n0	ENSCAFG00000017096.4	ENSG00000179115.11	ENSMFAG00000030595.1	ENSMUSG00000003808.18	ENSRNOG00000003149.7
N0.HOG0012523	OG0011342	n0	ENSCAFG00000003519.4	ENSG00000136197.12	ENSMFAG00000027286.1	ENSMUSG00000039182.6	ENSRNOG00000015523.5
N0.HOG0012524	OG0011343	n0	ENSCAFG00000003622.4	ENSG00000170185.10	ENSMFAG00000031506.1	ENSMUSG00000038250.9	ENSRNOG00000026880.6
N0.HOG0012525	OG0011344	n0	ENSCAFG00000044089.1	ENSG00000171433.12	ENSMFAG00000042609.1	ENSMUSG00000031163.2	ENSRNOG00000039571.2
N0.HOG0012526	OG0011345	n0	ENSCAFG00000005253.5	ENSG00000163811.12	ENSMFAG00000031243.1	ENSMUSG00000041057.10	ENSRNOG00000026316.4
N0.HOG0012527	OG0011346	n0	ENSCAFG00000004981.5	ENSG00000136122.18	ENSMFAG00000045514.1	ENSMUSG00000022070.7	ENSRNOG00000024798.5
N0.HOG0012528	OG0011347	n0	ENSCAFG00000003624.4	ENSG00000109452.12	ENSMFAG00000004754.1	ENSMUSG00000037940.17	ENSRNOG00000018382.6
N0.HOG0012529	OG0011348	n0	ENSCAFG00000012065.4	ENSG00000124253.11	ENSMFAG00000043755.1	ENSMUSG00000027513.11	ENSRNOG00000028616.6
N0.HOG0012530	OG0011349	n0	ENSCAFG00000017227.5	ENSG00000113327.17	ENSMFAG00000036513.1	ENSMUSG00000020436.17	ENSRNOG00000003241.6
N0.HOG0012531	OG0011350	n0	ENSCAFG00000007442.4	ENSG00000139372.15	ENSMFAG00000000086.1	ENSMUSG00000034674.18	ENSRNOG00000027124.7
N0.HOG0012532	OG0011351	n0	ENSCAFG00000004413.4	ENSG00000165997.5	ENSMFAG00000036453.1	ENSMUSG00000017418.14	ENSRNOG00000018714.7
N0.HOG0012533	OG0011352	n0	ENSCAFG00000013285.4	ENSG00000172818.10	ENSMFAG00000003667.1	ENSMUSG00000024922.2	ENSRNOG00000020669.6
N0.HOG0012534	OG0011353	n0	ENSCAFG00000019788.4	ENSG00000168679.18	ENSMFAG00000041455.1	ENSMUSG00000027896.15	ENSRNOG00000018131.7
N0.HOG0012535	OG0011354	n0	ENSCAFG00000006655.4	ENSG00000111452.13	ENSMFAG00000031649.1	ENSMUSG00000044017.16	ENSRNOG00000023536.7
N0.HOG0012536	OG0011355	n0	ENSCAFG00000012712.4	ENSG00000158008.10	ENSMFAG00000031631.1	ENSMUSG00000028838.11	ENSRNOG00000016776.5
N0.HOG0012537	OG0011356	n0	ENSCAFG00000010162.4	ENSG00000169550.14	ENSMFAG00000037974.1	ENSMUSG00000050808.13	ENSRNOG00000004703.6
N0.HOG0012538	OG0011357	n0	ENSCAFG00000001870.4	ENSG00000157214.14	ENSMFAG00000045411.1	ENSMUSG00000015653.13	ENSRNOG00000006076.5
N0.HOG0012539	OG0011358	n0	ENSCAFG00000017093.4	ENSG00000179218.14	ENSMFAG00000040740.1	ENSMUSG00000003814.8	ENSRNOG00000003029.6
N0.HOG0012540	OG0011359	n0	ENSCAFG00000020380.4	ENSG00000154027.19	ENSMFAG00000043368.1	ENSMUSG00000039058.11	ENSRNOG00000046947.1
N0.HOG0012541	OG0011360	n0	ENSCAFG00000016307.4	ENSG00000142634.13	ENSMFAG00000044896.1	ENSMUSG00000040659.3	ENSRNOG00000013783.5
N0.HOG0012542	OG0011361	n0	ENSCAFG00000020372.5	ENSG00000125122.15	ENSMFAG00000041969.1	ENSMUSG00000041679.9	ENSRNOG00000025231.5
N0.HOG0012543	OG0011362	n0	ENSCAFG00000018405.4	ENSG00000134363.12	ENSMFAG00000030825.1	ENSMUSG00000021765.9	ENSRNOG00000011631.4
N0.HOG0012544	OG0011363	n0	ENSCAFG00000019720.4	ENSG00000099866.15	ENSMFAG00000035953.1	ENSMUSG00000020310.9	ENSRNOG00000008217.4
N0.HOG0012545	OG0011364	n0	ENSCAFG00000010321.5	ENSG00000143847.15	ENSMFAG00000000167.1	ENSMUSG00000026458.13	ENSRNOG00000003494.7
N0.HOG0012546	OG0011365	n0	ENSCAFG00000005871.4	ENSG00000110713.17	ENSMFAG00000045069.1	ENSMUSG00000063550.8	ENSRNOG00000020347.7
N0.HOG0012547	OG0011366	n0	ENSCAFG00000012058.5	ENSG00000124092.12	ENSMFAG00000037641.1	ENSMUSG00000070495.11	ENSRNOG00000028661.6
N0.HOG0012548	OG0011367	n0	ENSCAFG00000017964.5	ENSG00000140497.16	ENSMFAG00000040285.1	ENSMUSG00000040188.10	ENSRNOG00000019136.6
N0.HOG0012549	OG0011368	n0	ENSCAFG00000014316.3	ENSG00000179674.4	ENSMFAG00000028826.1	ENSMUSG00000098207.1	ENSRNOG00000049827.1
N0.HOG0012550	OG0011369	n0	ENSCAFG00000001869.4	ENSG00000165271.17	ENSMFAG00000040117.1	ENSMUSG00000028430.14	ENSRNOG00000010409.8
N0.HOG0012551	OG0011370	n0	ENSCAFG00000017500.4	ENSG00000042088.14	ENSMFAG00000000067.1	ENSMUSG00000021177.16	ENSRNOG00000003831.6
N0.HOG0012552	OG0011371	n0	ENSCAFG00000010484.4	ENSG00000057294.15	ENSMFAG00000045800.1	ENSMUSG00000041957.15	ENSRNOG00000001825.7
N0.HOG0012553	OG0011372	n0	ENSCAFG00000016572.4	ENSG00000029364.12	ENSMFAG00000030713.1	ENSMUSG00000048833.9	ENSRNOG00000005052.6
N0.HOG0012554	OG0011373	n0	ENSCAFG00000006189.4	ENSG00000133101.10	ENSMFAG00000035978.1	ENSMUSG00000027793.6	ENSRNOG00000014052.6
N0.HOG0012555	OG0011374	n0	ENSCAFG00000006804.5	ENSG00000163637.13	ENSMFAG00000002702.1	ENSMUSG00000030020.13	ENSRNOG00000012364.6
N0.HOG0012556	OG0011375	n0	ENSCAFG00000007915.5	ENSG00000163710.9	ENSMFAG00000001242.1	ENSMUSG00000015354.8	ENSRNOG00000046848.2
N0.HOG0012557	OG0011376	n0	ENSCAFG00000017152.5	ENSG00000100565.15	ENSMFAG00000046151.1	ENSMUSG00000059114.8	ENSRNOG00000052456.1
N0.HOG0012558	OG0011377	n0	ENSCAFG00000003464.5	ENSG00000143882.12	ENSMFAG00000032936.1	ENSMUSG00000020566.19	ENSRNOG00000050553.2
N0.HOG0012559	OG0011378	n0	ENSCAFG00000006714.5	ENSG00000158077.5	ENSMFAG00000030173.1	ENSMUSG00000016626.10	ENSRNOG00000023847.7
N0.HOG0012560	OG0011379	n0	ENSCAFG00000003300.4	ENSG00000151692.15	ENSMFAG00000040034.1	ENSMUSG00000020642.13	ENSRNOG00000007370.6
N0.HOG0012561	OG0011380	n0	ENSCAFG00000030611.2	ENSG00000204899.6	ENSMFAG00000044898.1	ENSMUSG00000033186.9	ENSRNOG00000024813.5
N0.HOG0012562	OG0011381	n0	ENSCAFG00000009765.3	ENSG00000118729.12	ENSMFAG00000042482.1	ENSMUSG00000027861.13	ENSRNOG00000016243.6
N0.HOG0012563	OG0011382	n0	ENSCAFG00000017076.4	ENSG00000179271.3	ENSMFAG00000032468.1	ENSMUSG00000033751.5	ENSRNOG00000003011.7
N0.HOG0012564	OG0011383	n0	ENSCAFG00000003977.4	ENSG00000105851.11	ENSMFAG00000033319.1	ENSMUSG00000020573.17	ENSRNOG00000009385.8
N0.HOG0012565	OG0011384	n0	ENSCAFG00000020179.4	ENSG00000069702.11	ENSMFAG00000002239.1	ENSMUSG00000029287.14	ENSRNOG00000002093.4
N0.HOG0012566	OG0011385	n0	ENSCAFG00000017774.2	ENSG00000125962.14	ENSMFAG00000030606.1	ENSMUSG00000072969.2	ENSRNOG00000003187.5
N0.HOG0012567	OG0011386	n0	ENSCAFG00000014580.5	ENSG00000110011.13	ENSMFAG00000036941.1	ENSMUSG00000024963.12	ENSRNOG00000043060.3
N0.HOG0012568	OG0011387	n0	ENSCAFG00000016444.4	ENSG00000102302.8	ENSMFAG00000035269.1	ENSMUSG00000025265.14	ENSRNOG00000047165.2
N0.HOG0012569	OG0011388	n0	ENSCAFG00000019981.4	ENSG00000136816.16	ENSMFAG00000046247.1	ENSMUSG00000026848.14	ENSRNOG00000006435.7
N0.HOG0012570	OG0011389	n0	ENSCAFG00000013251.5	ENSG00000172803.18	ENSMFAG00000003675.1	ENSMUSG00000056185.5	ENSRNOG00000026527.6
N0.HOG0012571	OG0011390	n0	ENSCAFG00000019367.5	ENSG00000083457.12	ENSMFAG00000035926.1	ENSMUSG00000005947.11	ENSRNOG00000046639.2
N0.HOG0012572	OG0011391	n0	ENSCAFG00000003082.5	ENSG00000135334.9	ENSMFAG00000023644.1	ENSMUSG00000028291.7	ENSRNOG00000008288.4
N0.HOG0012573	OG0011392	n0	ENSCAFG00000010309.5	ENSG00000122180.5	ENSMFAG00000043657.1	ENSMUSG00000026459.5	ENSRNOG00000030743.4
N0.HOG0012574	OG0011393	n0	ENSCAFG00000004531.4	ENSG00000174032.17	ENSMFAG00000035809.1	ENSMUSG00000022003.7	ENSRNOG00000001052.7
N0.HOG0012575	OG0011394	n0	ENSCAFG00000012024.5	ENSG00000143469.20	ENSMFAG00000036849.1	ENSMUSG00000016200.14	ENSRNOG00000046139.3
N0.HOG0012576	OG0011395	n0	ENSCAFG00000009042.5	ENSG00000166578.10	ENSMFAG00000001483.1	ENSMUSG00000029601.13	ENSRNOG00000001378.7
N0.HOG0012577	OG0011396	n0	ENSCAFG00000019786.4	ENSG00000143125.6	ENSMFAG00000029321.1	ENSMUSG00000070368.9	ENSRNOG00000018201.2
N0.HOG0012578	OG0011397	n0	ENSCAFG00000031255.1, ENSCAFG00000031617.1, ENSCAFG00000031855.1			ENSMUSG00000043892.3	ENSRNOG00000051828.1
N0.HOG0012579	OG0011398	n0	ENSCAFG00000016204.4	ENSG00000085449.15	ENSMFAG00000046048.1	ENSMUSG00000073643.11	ENSRNOG00000015080.7
N0.HOG0012580	OG0011399	n0	ENSCAFG00000003410.4	ENSG00000004866.21	ENSMFAG00000008568.1	ENSMUSG00000029534.17	ENSRNOG00000056243.1
N0.HOG0012581	OG0011400	n0	ENSCAFG00000016145.4	ENSG00000109790.16	ENSMFAG00000042012.1	ENSMUSG00000054920.12	ENSRNOG00000008421.7
N0.HOG0012582	OG0011401	n0	ENSCAFG00000010630.5	ENSG00000082438.17	ENSMFAG00000041468.1	ENSMUSG00000034903.18	ENSRNOG00000027016.7
N0.HOG0012583	OG0011402	n0	ENSCAFG00000010329.5	ENSG00000021762.20	ENSMFAG00000033431.1	ENSMUSG00000037606.18	ENSRNOG00000020713.7
N0.HOG0012584	OG0011403	n0	ENSCAFG00000012437.4	ENSG00000100445.17	ENSMFAG00000035471.1	ENSMUSG00000022223.9	ENSRNOG00000020544.5
N0.HOG0012585	OG0011404	n0	ENSCAFG00000006981.4	ENSG00000139637.14	ENSMFAG00000031782.1	ENSMUSG00000001285.12	ENSRNOG00000013343.6
N0.HOG0012586	OG0011405	n0	ENSCAFG00000001105.4	ENSG00000184156.17	ENSMFAG00000000975.1	ENSMUSG00000056258.9	ENSRNOG00000005206.7
N0.HOG0012587	OG0011406	n0	ENSCAFG00000004161.5	ENSG00000105419.18	ENSMFAG00000034069.1	ENSMUSG00000041420.18	ENSRNOG00000021390.7
N0.HOG0012588	OG0011407	n0	ENSCAFG00000010316.7	ENSG00000114487.10	ENSMFAG00000003460.1	ENSMUSG00000022652.7	ENSRNOG00000032101.4
N0.HOG0012589	OG0011408	n0	ENSCAFG00000017147.5	ENSG00000013523.11	ENSMFAG00000045195.1	ENSMUSG00000021257.14	ENSRNOG00000010567.5
N0.HOG0012590	OG0011409	n0	ENSCAFG00000012913.5	ENSG00000115677.17	ENSMFAG00000033641.1	ENSMUSG00000034088.15	ENSRNOG00000031479.4
N0.HOG0012591	OG0011410	n0	ENSCAFG00000001635.4	ENSG00000171843.17	ENSMFAG00000036142.1	ENSMUSG00000028496.17	ENSRNOG00000011280.7
N0.HOG0012592	OG0011411	n0	ENSCAFG00000019778.3	ENSG00000143105.7	ENSMFAG00000016078.1	ENSMUSG00000042861.7	ENSRNOG00000050416.1
N0.HOG0012593	OG0011412	n0	ENSCAFG00000011352.4	ENSG00000075856.12	ENSMFAG00000039887.1	ENSMUSG00000018974.7	ENSRNOG00000000702.5
N0.HOG0012594	OG0011413	n0	ENSCAFG00000024088.4	ENSG00000165164.14	ENSMFAG00000045894.1	ENSMUSG00000073077.7	ENSRNOG00000038383.3
N0.HOG0012595	OG0011414	n0	ENSCAFG00000003613.5	ENSG00000109458.8	ENSMFAG00000044011.1	ENSMUSG00000031714.9	ENSRNOG00000017879.5
N0.HOG0012596	OG0011415	n0	ENSCAFG00000037499.2	ENSG00000164258.12	ENSMFAG00000033089.1	ENSMUSG00000021764.8	ENSRNOG00000011383.5
N0.HOG0012597	OG0011416	n0	ENSCAFG00000019980.4	ENSG00000136827.12	ENSMFAG00000038660.1	ENSMUSG00000026849.18	ENSRNOG00000006894.7
N0.HOG0012598	OG0011417	n0	ENSCAFG00000002034.4	ENSG00000145216.16	ENSMFAG00000034699.1	ENSMUSG00000029227.15	ENSRNOG00000002275.7
N0.HOG0012599	OG0011418	n0	ENSCAFG00000010475.4	ENSG00000110975.8	ENSMFAG00000034558.1	ENSMUSG00000063260.2	ENSRNOG00000014296.3
N0.HOG0012600	OG0011419	n0	ENSCAFG00000028723.2, ENSCAFG00000032484.2		ENSMFAG00000030654.1	ENSMUSG00000024728.13	ENSRNOG00000061597.1
N0.HOG0012601	OG0011420	n0	ENSCAFG00000011254.4	ENSG00000113924.12	ENSMFAG00000041993.1	ENSMUSG00000022821.13	ENSRNOG00000002701.6
N0.HOG0012602	OG0011421	n0	ENSCAFG00000000094.4	ENSG00000074695.6	ENSMFAG00000044600.1	ENSMUSG00000041891.16	ENSRNOG00000024470.5
N0.HOG0012603	OG0011422	n0	ENSCAFG00000019620.4	ENSG00000130826.18	ENSMFAG00000032398.1	ENSMUSG00000031403.14	ENSRNOG00000055562.1
N0.HOG0012604	OG0011423	n0	ENSCAFG00000003293.3	ENSG00000134321.12	ENSMFAG00000033338.1	ENSMUSG00000020641.16	ENSRNOG00000007539.7
N0.HOG0012605	OG0011424	n0	ENSCAFG00000018862.5	ENSG00000175354.20	ENSMFAG00000044539.1	ENSMUSG00000024539.17	ENSRNOG00000017453.8
N0.HOG0012606	OG0011425	n0	ENSCAFG00000031897.2	ENSG00000139405.16	ENSMFAG00000043305.1	ENSMUSG00000029600.10	ENSRNOG00000037720.2
N0.HOG0012607	OG0011426	n0	ENSCAFG00000041682.1	ENSG00000115290.10	ENSMFAG00000031856.1	ENSMUSG00000026888.14	ENSRNOG00000052498.1
N0.HOG0012608	OG0011427	n0	ENSCAFG00000019349.3	ENSG00000127774.7	ENSMFAG00000027122.1	ENSMUSG00000047260.4	ENSRNOG00000019352.8
N0.HOG0012609	OG0011428	n0	ENSCAFG00000005369.4	ENSG00000104613.12	ENSMFAG00000039216.1	ENSMUSG00000031864.16	ENSRNOG00000055331.1
N0.HOG0012610	OG0011429	n0	ENSCAFG00000000887.5	ENSG00000100347.15	ENSMFAG00000037322.1	ENSMUSG00000022437.7	ENSRNOG00000011952.6
N0.HOG0012611	OG0011430	n0	ENSCAFG00000003309.5	ENSG00000115977.19	ENSMFAG00000032641.1	ENSMUSG00000057230.14	ENSRNOG00000018317.6
N0.HOG0012612	OG0011431	n0	ENSCAFG00000014577.5	ENSG00000173511.9	ENSMFAG00000044556.1	ENSMUSG00000024962.13	ENSRNOG00000021156.4
N0.HOG0012613	OG0011432	n0	ENSCAFG00000012301.4	ENSG00000136205.17	ENSMFAG00000039404.1	ENSMUSG00000020422.14	ENSRNOG00000025695.6
N0.HOG0012614	OG0011433	n0	ENSCAFG00000020371.4	ENSG00000168701.19	ENSMFAG00000042618.1	ENSMUSG00000014856.12	ENSRNOG00000015974.5
N0.HOG0012615	OG0011434	n0	ENSCAFG00000013037.4	ENSG00000070019.5	ENSMFAG00000002320.1	ENSMUSG00000042638.14	ENSRNOG00000009031.5
N0.HOG0012616	OG0011435	n0	ENSCAFG00000004523.4	ENSG00000165837.12	ENSMFAG00000044485.1	ENSMUSG00000022002.2	ENSRNOG00000022462.5
N0.HOG0012617	OG0011436	n0	ENSCAFG00000007111.4	ENSG00000153902.14	ENSMFAG00000042528.1	ENSMUSG00000036560.14	ENSRNOG00000021087.7
N0.HOG0012618	OG0011437	n0	ENSCAFG00000012881.4	ENSG00000146205.14	ENSMFAG00000001859.1	ENSMUSG00000034107.10	ENSRNOG00000023427.2
N0.HOG0012619	OG0011438	n0	ENSCAFG00000015872.4	ENSG00000108219.15	ENSMFAG00000045856.1	ENSMUSG00000037824.6	ENSRNOG00000010813.6
N0.HOG0012620	OG0011439	n0	ENSCAFG00000010874.4	ENSG00000196562.14	ENSMFAG00000035867.1	ENSMUSG00000006800.14	ENSRNOG00000006052.5
N0.HOG0012621	OG0011440	n0	ENSCAFG00000000602.4	ENSG00000048392.12	ENSMFAG00000043659.1	ENSMUSG00000022292.16	ENSRNOG00000025454.6
N0.HOG0012622	OG0011441	n0	ENSCAFG00000049531.1	ENSG00000123739.11	ENSMFAG00000045695.1	ENSMUSG00000027999.15	ENSRNOG00000057470.1
N0.HOG0012623	OG0011442	n0	ENSCAFG00000010383.5	ENSG00000092529.25	ENSMFAG00000008163.1	ENSMUSG00000079110.12	ENSRNOG00000008609.7
N0.HOG0012624	OG0011443	n0	ENSCAFG00000046229.1			ENSMUSG00000010751.15, ENSMUSG00000037613.16, ENSMUSG00000045362.8	ENSRNOG00000043486.3
